,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,west fargo,1.0,US,1536380100.0,77.0,46.88,-96.9,289.85,2.1
373,camas,1.0,US,1536378960.0,58.0,45.59,-122.41,292.55,2.6
374,beroroha,0.0,MG,1536381226.0,33.0,-21.68,45.17,299.417,3.66
375,pemba,20.0,MZ,1536379200.0,100.0,-12.97,40.52,294.15,2.1
377,leningradskiy,0.0,RU,1536380931.0,75.0,69.38,178.42,282.92,1.76
378,ilulissat,24.0,GL,1536378600.0,86.0,69.22,-51.1,274.15,0.5
379,yinchuan,0.0,CN,1536381227.0,33.0,38.48,106.21,295.517,2.21
380,saldanha,48.0,PT,1536380938.0,86.0,41.42,-6.55,286.97,1.66
381,flin flon,80.0,CA,1536381228.0,70.0,54.77,-101.88,284.467,5.01
382,eureka,1.0,US,1536378900.0,100.0,40.8,-124.16,285.15,2.56
383,talca,0.0,CL,1536379200.0,86.0,-35.43,-71.66,277.15,1.5
384,oudtshoorn,75.0,ZA,1536379200.0,93.0,-33.59,22.2,281.15,3.1
386,clarksburg,1.0,US,1536378900.0,90.0,39.28,-80.34,295.35,1.21
387,port hedland,0.0,AU,1536379200.0,20.0,-20.31,118.58,304.15,6.7
390,glomfjord,0.0,NO,1536378600.0,71.0,66.82,13.94,287.15,7.2
391,ajdabiya,0.0,LY,1536381230.0,37.0,30.75,20.22,299.267,1.31
392,wajir,75.0,KE,1536375600.0,78.0,1.75,40.07,295.15,2.1
393,rodekro,75.0,DK,1536380400.0,93.0,55.07,9.32,284.15,7.7
394,ignacio de la llave,75.0,MX,1536378000.0,88.0,18.73,-95.98,299.15,1.46
395,grenada,1.0,US,1536378780.0,87.0,33.77,-89.81,298.15,2.41
396,amberley,0.0,NZ,1536379200.0,66.0,-43.15,172.73,282.15,5.7
397,namibe,0.0,AO,1536381232.0,98.0,-15.19,12.15,290.117,1.96
398,tilichiki,92.0,RU,1536380787.0,97.0,60.47,166.1,286.72,1.96
399,nioro,92.0,GM,1536381233.0,94.0,13.79,-15.05,296.017,4.16
400,makueni,92.0,KE,1536381233.0,79.0,-1.8,37.62,292.367,1.96
401,ribeira brava,40.0,PT,1536379200.0,68.0,32.65,-17.07,294.15,4.1
402,broome,48.0,GB,1536378960.0,87.0,52.47,1.45,283.15,3.6
403,el alto,44.0,BO,1536379200.0,63.0,-16.5,-68.19,272.15,1.21
405,tevaitoa,92.0,PF,1536381234.0,100.0,-16.78,-151.5,298.117,4.51
406,samarai,92.0,PG,1536380993.0,97.0,-10.62,150.67,299.12,7.41
409,ankazoabo,0.0,MG,1536381236.0,35.0,-22.29,44.51,298.317,5.01
410,karasjok,92.0,NO,1536378600.0,87.0,69.47,25.52,280.15,7.7
411,kimbe,68.0,PG,1536381236.0,100.0,-5.56,150.15,298.317,1.96
412,cimislia,75.0,MD,1536379200.0,87.0,46.52,28.78,287.15,3.1
413,wakkanai,40.0,JP,1536375600.0,63.0,45.41,141.67,292.15,9.3
414,englehart,1.0,CA,1536379200.0,80.0,47.82,-79.87,278.15,2.1
415,sechura,0.0,PE,1536380853.0,86.0,-5.56,-80.82,292.27,5.46
416,buala,56.0,SB,1536380800.0,90.0,-8.15,159.59,301.97,1.86
417,mangan,8.0,IN,1536381238.0,68.0,27.5,88.54,286.167,0.86
418,daru,92.0,SL,1536381238.0,100.0,7.99,-10.85,294.867,1.36
419,poronaysk,0.0,RU,1536381238.0,76.0,49.22,143.1,288.467,4.81
420,weligama,0.0,LK,1536381042.0,72.0,5.97,80.42,302.967,7.96
421,havelock,1.0,US,1536379080.0,100.0,34.88,-76.9,298.15,0.91
422,pitimbu,20.0,BR,1536379200.0,94.0,-7.47,-34.81,294.15,3.1
423,adet,0.0,ET,1536381239.0,100.0,11.26,37.49,290.117,1.96
424,mount darwin,0.0,ZW,1536381240.0,44.0,-16.77,31.58,296.167,2.11
425,keti bandar,44.0,PK,1536381240.0,97.0,24.14,67.45,299.567,4.01
426,verkhnevilyuysk,92.0,RU,1536380872.0,68.0,63.45,120.31,276.57,3.56
427,aklavik,20.0,CA,1536379200.0,69.0,68.22,-135.01,276.15,1.0
428,pisco,40.0,PE,1536379200.0,87.0,-13.71,-76.2,289.15,1.5
429,hudiksvall,92.0,SE,1536381106.0,96.0,61.73,17.1,288.217,5.66
430,coffs harbour,40.0,AU,1536379200.0,82.0,-30.3,153.13,293.15,6.7
431,qaqortoq,76.0,GL,1536378600.0,86.0,60.72,-46.03,278.15,1.01
432,baie-saint-paul,0.0,CA,1536381242.0,78.0,47.44,-70.51,279.367,3.21
433,gryazi,0.0,RU,1536381242.0,36.0,52.5,39.96,293.317,4.01
434,fairbanks,1.0,US,1536379080.0,59.0,64.84,-147.72,284.85,4.6
436,kjollefjord,32.0,NO,1536381243.0,85.0,70.95,27.35,282.117,2.31
437,port arthur,1.0,US,1536380100.0,87.0,29.9,-93.93,301.15,1.16
438,kalmar,0.0,SE,1536378600.0,100.0,56.66,16.36,289.15,1.5
439,innisfail,40.0,CA,1536379200.0,62.0,52.02,-113.95,288.15,2.6
440,oranjemund,48.0,ZA,1536380764.0,100.0,-28.55,16.43,285.87,5.71
441,ahome,36.0,MX,1536381244.0,93.0,25.92,-109.18,299.667,4.66
442,kyzyl-mazhalyk,36.0,RU,1536381245.0,49.0,51.15,90.58,292.267,2.06
443,syumsi,24.0,RU,1536381245.0,80.0,57.11,51.61,290.067,1.66
444,makat,32.0,KZ,1536381245.0,30.0,47.65,53.35,295.567,3.56
445,markova,0.0,RU,1536379200.0,58.0,52.21,104.21,287.15,5.0
447,la ronge,75.0,CA,1536379200.0,66.0,55.1,-105.3,285.15,5.7
448,portland,75.0,US,1536378960.0,63.0,45.52,-122.67,292.55,1.5
449,bahia blanca,0.0,AR,1536381247.0,92.0,-38.72,-62.27,280.467,4.01
451,filadelfia,0.0,PY,1536381247.0,48.0,-22.35,-60.04,292.917,2.26
452,cartagena,92.0,ES,1536379200.0,73.0,37.63,-1.0,298.15,5.7
453,vysokogornyy,0.0,RU,1536381248.0,64.0,50.1,139.13,284.317,4.01
454,oltu,68.0,TR,1536381248.0,87.0,40.55,42.0,285.467,0.91
455,haguenau,64.0,FR,1536380400.0,100.0,48.82,7.79,283.15,1.0
456,muisne,48.0,EC,1536381249.0,97.0,0.61,-80.02,294.117,1.21
457,naze,92.0,NG,1536381249.0,98.0,5.43,7.07,294.767,1.96
458,sinop,40.0,TR,1536378600.0,57.0,42.03,35.15,297.15,8.2
459,semey,88.0,KZ,1536380870.0,74.0,50.41,80.25,286.77,2.76
460,lazaro cardenas,80.0,MX,1536381250.0,98.0,28.39,-105.62,290.817,2.61
461,teknaf,76.0,BD,1536381250.0,82.0,20.86,92.31,302.517,1.66
462,rocha,36.0,UY,1536380789.0,65.0,-34.48,-54.34,282.72,2.11
463,araci,36.0,BR,1536381251.0,89.0,-11.34,-38.96,293.467,3.06
464,storforshei,0.0,NO,1536381251.0,87.0,66.4,14.52,276.317,0.76
465,san patricio,0.0,PY,1536380809.0,82.0,-26.98,-56.83,288.32,1.06
466,hammerfest,0.0,NO,1536378600.0,87.0,70.66,23.68,281.15,3.6
467,sabang,32.0,PH,1536381252.0,84.0,13.72,123.58,303.217,2.96
468,barcelos,75.0,PT,1536379200.0,77.0,41.53,-8.62,293.15,2.1
470,viransehir,0.0,TR,1536381253.0,67.0,37.24,39.76,296.267,1.76
471,whithorn,20.0,JM,1536379200.0,88.0,18.26,-78.04,299.15,0.5
472,luba,68.0,PH,1536381253.0,91.0,17.32,120.7,299.117,3.01
473,lewiston,1.0,US,1536378960.0,96.0,44.1,-70.21,288.15,1.91
474,la sarre,0.0,CA,1536381254.0,100.0,48.8,-79.2,278.317,3.46
475,tarko-sale,0.0,RU,1536381254.0,83.0,64.92,77.78,282.367,2.11
476,srednekolymsk,0.0,RU,1536381255.0,48.0,67.46,153.71,293.167,3.31
477,aksu,40.0,KZ,1536379200.0,82.0,52.04,76.93,286.15,5.0
478,agadez,88.0,NE,1536381255.0,74.0,16.97,7.99,297.667,2.21
479,garissa,44.0,KE,1536381256.0,71.0,-0.46,39.64,298.317,5.11
480,kursumlija,0.0,RS,1536379200.0,82.0,43.14,21.27,289.15,1.16
481,comodoro rivadavia,0.0,AR,1536375600.0,49.0,-45.87,-67.48,282.15,3.6
482,klaipeda,0.0,LT,1536378600.0,82.0,55.72,21.12,289.15,1.0
483,iguatemi,0.0,BR,1536381257.0,77.0,-23.67,-54.56,285.817,1.21
484,lauchhammer,0.0,DE,1536380400.0,82.0,51.5,13.76,286.15,2.1
485,chumikan,92.0,RU,1536381258.0,86.0,54.72,135.31,282.417,6.11
486,kutum,56.0,SD,1536381258.0,100.0,14.2,24.66,292.367,2.06
487,hirara,75.0,JP,1536379200.0,66.0,24.8,125.28,305.15,5.1
488,macamic,5.0,CA,1536379200.0,100.0,48.75,-79.0,275.15,3.46
489,bakel,32.0,SN,1536381259.0,85.0,14.9,-12.46,296.917,4.56
490,ligayan,12.0,PH,1536380930.0,100.0,4.65,119.47,300.77,3.81
491,mutoko,0.0,ZW,1536381259.0,46.0,-17.4,32.23,295.467,2.01
492,mount gambier,76.0,AU,1536380660.0,79.0,-37.83,140.78,286.17,4.31
493,kulhudhuffushi,80.0,MV,1536381260.0,97.0,6.62,73.07,302.067,5.91
494,shwebo,20.0,MM,1536381260.0,88.0,22.57,95.7,303.767,2.51
495,hvide sande,92.0,DK,1536378600.0,93.0,56.01,8.13,284.15,2.6
496,yantongshan,0.0,CN,1536381261.0,72.0,43.28,126.02,288.967,2.71
497,hegang,48.0,CN,1536381261.0,70.0,47.34,130.28,286.067,3.86
498,jahangirabad,36.0,IN,1536381262.0,81.0,28.4,78.11,303.067,8.16
499,emba,20.0,CY,1536379200.0,78.0,34.81,32.42,297.15,4.6
500,vanimo,64.0,PG,1536380908.0,100.0,-2.67,141.3,299.17,2.21
501,kananga,64.0,CD,1536381262.0,96.0,-5.9,22.41,294.267,1.21
502,tutoia,0.0,BR,1536381263.0,88.0,-2.76,-42.27,298.217,4.31
503,maltahohe,0.0,NA,1536381263.0,81.0,-24.83,16.98,272.567,5.71
504,puerto escondido,0.0,MX,1536380796.0,100.0,15.86,-97.07,302.72,2.06
505,newport,40.0,GB,1536378600.0,100.0,51.59,-3.0,287.15,2.1
506,ixtapa,90.0,MX,1536378240.0,100.0,20.71,-105.21,298.15,2.6
507,shakhtinsk,40.0,KZ,1536379200.0,81.0,49.71,72.59,284.15,2.0
508,porbandar,40.0,IN,1536379200.0,78.0,21.64,69.61,300.15,2.1
510,inhambane,0.0,MZ,1536381265.0,75.0,-23.87,35.38,299.467,8.11
511,ranong,20.0,TH,1536379200.0,74.0,9.96,98.62,303.15,3.1
512,gat,40.0,SN,1536375600.0,94.0,14.69,-16.54,298.15,2.1
513,ahuimanu,90.0,US,1536379020.0,79.0,21.44,-157.84,301.45,4.6
514,praia,0.0,BR,1536375600.0,59.0,-20.25,-43.81,290.15,2.1
515,xuanhua,44.0,CN,1536381266.0,40.0,40.61,115.04,291.717,1.51
516,khani,40.0,GE,1536377400.0,93.0,41.96,42.96,292.15,3.6
517,kuala terengganu,75.0,MY,1536379200.0,70.0,5.33,103.14,304.15,1.5
518,manaia,0.0,NZ,1536381267.0,97.0,-39.55,174.12,283.317,7.46
519,oktyabrskiy,32.0,RU,1536379200.0,87.0,55.61,37.97,285.15,1.76
521,lagoa,0.0,PT,1536379200.0,82.0,37.14,-8.45,290.15,2.6
522,nemuro,75.0,JP,1536375600.0,88.0,43.32,145.57,296.15,5.1
523,san javier,100.0,ES,1536379200.0,73.0,37.81,-0.83,298.15,5.7
524,sorland,0.0,NO,1536380877.0,97.0,67.67,12.69,285.87,5.46
525,pareora,0.0,NZ,1536381269.0,92.0,-44.49,171.21,279.367,2.06
526,jambi,32.0,ID,1536381051.0,83.0,-1.6,103.62,303.067,1.06
527,dikson,56.0,RU,1536380723.0,100.0,73.51,80.55,275.67,4.91
528,quang ngai,32.0,VN,1536381270.0,96.0,15.12,108.8,298.467,1.06
529,luanda,75.0,AO,1536379200.0,94.0,-8.83,13.24,293.15,2.1
530,haverfordwest,92.0,GB,1536381252.0,100.0,51.8,-4.97,288.717,8.06
531,severo-yeniseyskiy,0.0,RU,1536381271.0,62.0,60.37,93.04,288.317,2.06
532,poum,20.0,MK,1536379200.0,82.0,41.28,20.71,287.15,1.5
533,savinka,8.0,RU,1536381271.0,33.0,50.08,47.1,295.967,2.11
534,mehamn,32.0,NO,1536381271.0,85.0,71.03,27.85,282.117,2.31
535,tselinnoye,44.0,UA,1536381272.0,100.0,45.9,34.18,293.717,2.26
536,kirkuk,0.0,IQ,1536381272.0,24.0,35.47,44.4,305.717,2.06
537,waingapu,0.0,ID,1536381272.0,44.0,-9.65,120.26,305.017,5.21
538,miraflores,56.0,CO,1536381273.0,100.0,5.2,-73.14,282.117,0.26
539,aksarka,92.0,RU,1536381273.0,100.0,66.56,67.8,279.617,7.01
540,awbari,0.0,LY,1536380894.0,29.0,26.59,12.77,292.67,2.26
541,bend,1.0,US,1536380100.0,30.0,44.06,-121.32,294.25,3.1
542,oussouye,40.0,SN,1536379200.0,94.0,12.49,-16.54,298.15,6.2
543,acajutla,64.0,SV,1536381274.0,95.0,13.59,-89.83,296.067,0.91
544,taree,40.0,AU,1536379200.0,64.0,-31.91,152.46,293.15,7.7
545,chara,20.0,GR,1536378600.0,64.0,39.42,22.43,294.15,3.1
546,khangah dogran,100.0,PK,1536381275.0,76.0,31.83,73.62,302.867,2.21
547,comarapa,0.0,BO,1536381275.0,87.0,-17.91,-64.53,277.017,1.41
548,skjervoy,8.0,NO,1536381276.0,100.0,70.03,20.97,283.017,1.06
549,hastings,92.0,NZ,1536381208.0,100.0,-39.64,176.84,282.717,10.36
550,pasni,68.0,PK,1536381276.0,97.0,25.26,63.48,299.317,2.51
551,arlit,56.0,NE,1536380876.0,40.0,18.74,7.39,300.67,3.06
552,guangyuan,0.0,CN,1536381277.0,45.0,32.43,105.86,298.667,1.41
554,smithers,75.0,CA,1536379200.0,87.0,54.78,-127.17,286.15,3.1
555,hamilton,75.0,CA,1536379200.0,63.0,43.26,-79.87,293.15,3.6
556,peniche,90.0,PT,1536379200.0,100.0,39.36,-9.38,290.15,3.1
557,itarema,0.0,BR,1536380770.0,84.0,-2.92,-39.92,298.22,7.06
558,zhanaozen,68.0,KZ,1536381278.0,27.0,43.35,52.85,296.617,10.36
560,ca mau,92.0,VN,1536381279.0,91.0,9.18,105.15,301.017,5.46
561,carutapera,44.0,BR,1536381279.0,89.0,-1.2,-46.02,298.717,2.96
562,guerrero negro,0.0,MX,1536380818.0,84.0,27.97,-114.04,295.12,5.01
563,zheshart,76.0,RU,1536381280.0,87.0,62.09,49.59,288.317,2.76
564,hwange,68.0,ZW,1536381280.0,39.0,-18.35,26.5,297.767,5.81
565,faanui,8.0,PF,1536380797.0,100.0,-16.48,-151.75,298.77,4.46
566,dibrugarh,75.0,IN,1536379200.0,94.0,27.48,94.9,300.15,0.41
567,chinchani,76.0,IN,1536381281.0,96.0,16.42,74.53,296.267,4.36
568,half moon bay,20.0,US,1536378960.0,77.0,37.46,-122.43,295.95,6.2
569,bang saphan,20.0,TH,1536379200.0,62.0,11.21,99.51,303.15,5.1
570,huancayo,8.0,PE,1536381282.0,87.0,-12.08,-75.21,271.567,1.16
571,katobu,8.0,ID,1536381282.0,62.0,-4.94,122.53,304.967,3.76
572,opuwo,0.0,NA,1536380890.0,75.0,-18.06,13.84,279.57,1.01
573,yarim,0.0,YE,1536381283.0,28.0,14.3,44.38,298.067,0.91
574,madison,75.0,US,1536378960.0,66.0,43.07,-89.38,287.65,2.1
575,seybaplaya,40.0,MX,1536378180.0,94.0,19.65,-90.67,295.15,2.81
576,soe,92.0,EE,1536378600.0,93.0,57.91,26.05,285.15,1.5
577,ust-kulom,68.0,RU,1536381284.0,78.0,61.69,53.69,289.317,2.76
578,neiafu,40.0,TO,1536379200.0,94.0,-18.65,-173.98,298.15,2.6
579,husavik,8.0,CA,1536381284.0,70.0,50.56,-96.99,287.467,4.81
580,sovetskiy,36.0,RU,1536381285.0,56.0,56.76,48.47,293.117,3.76
581,saint-augustin,12.0,FR,1536379200.0,100.0,44.83,-0.61,285.15,0.5
582,bandarbeyla,0.0,SO,1536380799.0,78.0,9.49,50.81,295.77,9.81
583,patacamaya,20.0,BO,1536381286.0,87.0,-17.23,-67.92,274.217,1.76
584,dalvik,32.0,SE,1536378600.0,93.0,57.79,14.13,286.15,4.1
585,dudinka,32.0,RU,1536381226.0,86.0,69.41,86.18,279.367,2.11
586,nelson bay,90.0,AU,1536379200.0,72.0,-32.72,152.14,290.15,8.2
587,alpena,1.0,US,1536380100.0,77.0,45.06,-83.43,290.55,2.6
588,kilindoni,80.0,TZ,1536381287.0,100.0,-7.91,39.67,297.467,2.56
590,vila franca do campo,75.0,PT,1536379200.0,100.0,37.72,-25.43,293.15,2.1
591,kuito,0.0,AO,1536381288.0,87.0,-12.38,16.94,288.567,1.41
592,manzanillo,24.0,CU,1536381288.0,100.0,20.34,-77.12,300.617,2.26
593,bonavista,0.0,CA,1536380853.0,95.0,48.65,-53.11,286.17,4.51
594,kavieng,32.0,PG,1536380844.0,100.0,-2.57,150.8,301.12,3.31
595,zhigansk,88.0,RU,1536380875.0,94.0,66.77,123.37,276.12,2.66
596,vrangel,0.0,RU,1536381289.0,96.0,42.73,133.08,291.567,6.71
597,xining,0.0,CN,1536381038.0,65.0,36.62,101.77,289.317,1.51
598,borda da mata,0.0,BR,1536381290.0,77.0,-22.27,-46.17,282.017,1.81
599,ler,0.0,NO,1536378600.0,81.0,63.2,10.3,285.15,6.2
600,umm kaddadah,12.0,SD,1536381290.0,100.0,13.6,26.69,295.267,3.11
601,imeni poliny osipenko,12.0,RU,1536381291.0,71.0,52.42,136.49,288.467,3.21
602,sambava,92.0,MG,1536380841.0,100.0,-14.27,50.17,295.57,6.81
603,pathein,64.0,MM,1536381291.0,83.0,16.78,94.73,303.367,3.01
604,moundsville,75.0,US,1536378780.0,78.0,39.92,-80.74,295.35,4.1
605,louis trichardt,20.0,ZA,1536381292.0,55.0,-23.04,29.91,294.867,1.76
606,charlestown,90.0,US,1536380100.0,93.0,41.38,-71.64,293.75,1.5
607,tortoli,5.0,IT,1536378900.0,43.0,39.93,9.66,295.15,4.1
608,port keats,0.0,AU,1536381293.0,54.0,-14.25,129.55,305.267,2.91
609,gravelbourg,24.0,CA,1536381293.0,52.0,49.88,-106.56,293.117,5.16
610,narasannapeta,0.0,IN,1536381293.0,79.0,18.42,84.04,304.617,1.86
